hour,kind,name,from_w,to_w,loading_percent,p_from_mw
h_01,line,69 kV Los Mina – Templástica_c,WTEMPF,WXTAMF,34.675077144463486,-9.695188166001206
h_01,line,69 kV Invivienda – Villa Duarte_b,WXGPLF,WXINVF,36.085787930719135,25.895869630942457
h_01,line,69 kV Los Mina – Timbeque,WLMINF,WDESPF,22.341285716014223,-16.555681713312435
h_01,line,69 kV Capotillo – Timbeque,WDESPF,WCAPOF,70.05840134934044,50.02363906048796
h_01,line,69 kV Dajao – Sabana Perdida_b,WXTDAF,WSPERF,39.657571112719985,27.054389325718827
h_01,line,69 kV Boca Chica – Mata de Palma_c,WXKVEF,WXKVNF,22.18402494442346,15.50034103261633
h_01,line,69 kV INCA km 22 – Palamara_a,WXCSAF,WINCAF,40.21966201747782,30.310053086316017
h_01,line,69 kV Boca Chica – La Caleta,WXKVEF,WLCALF,13.107768660795827,-9.461266749874369
h_01,line,69 kV Boca Chica – ZF Las Americas_d,WLCALF,WXLC2F,18.499568757844276,12.666513730946042
h_01,line,69 kV Boca Chica – ZF Las Americas_b,WXPC2F,WXPCIF,55.541395033406125,-39.84971711144959
h_01,line,69 kV Derivación ZF Gildan,WXMPAF,WZGILF,5.2245527250061725,3.6393889737623355
h_01,line,69 kV Boca Chica – Mata de Palma_g,WXMPAF,WXGUEF,6.027233491241013,-4.272488654269847
h_01,line,69 kV Derivación Acueducto Brujela_b,WXCA2F,WABRUF,18.887028463009457,9.834038603457108
h_01,line,69 kV Derivación Aero Las Américas,WXLC2F,WAAMEF,3.7716179221311332,2.701534111952601
h_01,line,69 kV Boca Chica – ZF Las Americas_e,WXLC2F,WXZAMF,14.801053355243127,9.962722305756191
h_01,line,69 kV Boca Chica – ZF Las Americas_f,WXZAMF,WZAMEF,13.212395388903483,9.057216741495006
h_01,line,69 kV Derivación Multiform,WXIISF,WMULTF,6.660600971362955,2.583990566313627
h_01,line,69 kV Derivación INCA La Isabela_a,WXINAF,WXIISF,6.925582218277977,2.691542851750881
h_01,line,69 kV Dajao – Monte Plata Solar_c,WMPLAF,WXYAMF,47.97392151279814,-28.26745197147768
h_01,line,69 kV Derivación Smurfit Kappa,WSKAPF,WXSKAF,1.696531946670434,-1.2081591719998996
h_01,line,69 kV Palamara – Bco Nacional Vivienda_b,WXAHGF,WXALIF,25.243395366793354,-13.509356538999578
h_01,line,69 kV INCA km 22 – Palamara_b,WXCSAF,WXIPSF,55.643160332421374,-42.41767109582976
h_01,line,69 kV Dajao – Monte Plata Solar_b,WXSPRF,WXYAMF,71.83947837148709,44.562898188551664
h_01,line,69 kV Derivación Molinos del Ozama,WXMOLF,WMOZAF,3.328062399364884,2.2804260891300374
h_01,line,69 kV Derivación Grupo Malla,WXMALF,WGMALF,5.765683575627896,2.4548804080941586
h_01,line,69 kV Boca Chica – Mata de Palma_b,WXCA2F,WXKVEF,9.385248449160422,6.0493791956708405
h_01,line,69 kV Invivienda – Villa Duarte_c,WXGALF,WXGPLF,39.23495396711129,28.27519502434755
h_01,line,69 kV Palamara – Bco Nacional Vivienda_c,WXAHGF,WBNVIF,24.97462340739976,13.304826526464044
h_01,line,69 kV Derivación Aeropuerto El Higüero,WXAHGF,WAHIGF,0.36276881317236964,0.20453001253621628
h_01,line,69 kV Derivación ZF Los Alcarrizos_c,WXDISF,WZALCF,24.894142437058818,17.72917045544723
h_01,line,69 kV Invivienda – Villa Duarte_a,WXINVF,WINVIF,30.274750929896495,21.521957109411122
h_01,line,69 kV Derivación Acueducto La Isabela,WXALIF,WALISF,0.6263783179536465,0.3385311183287082
h_01,line,69 kV Invivienda – Villa Duarte_d,WVDU1F,WXGALF,40.139229305730744,29.016821189003693
h_01,line,69 kV Timbeque – Villa Duarte_b,WXMOLF,WVDU1F,35.44996205064381,26.105793738188837
h_01,line,69 kV Hainamosa – Boca Chica(Tamarindo)a,WHNS1F,WXTMRF,57.451571854269815,23.215762506415057
h_01,line,69 kV Hainamosa – Invivienda,WHNS1F,WXTH1F,56.64245315227494,41.245574325231885
h_01,line,69 kV Hainamosa – Boca Chica(Tamarindo)c,WXBASF,WXAORF,33.15354582142992,-8.381429628085204
h_01,line,69 kV Boca Chica – ZF Las Americas_c,WXPC2F,WLCALF,53.662661341948706,38.71251020345024
h_01,line,69 kV Boca Chica – Mata de Palma_f,WXZBVF,WXGUEF,18.419597860972964,10.980621894322045
h_01,line,69 kV Palamara – Madre Vieja_b,WXPA1F,WXPA2F,51.64237142368027,33.97635333202731
h_01,line,69 kV Bayona – Multiparques,WMLTPF,WBAYOF,18.237499560731806,13.539038498017767
h_01,line,69 kV Dajao – Monte Plata Solar_d,WMPLAF,WMPSOF,0.0026019047648543282,1.4556127039397623e-11
h_01,line,69 kV Derivación Kilómetro 24,WXKVNF,WKVENF,8.06525091120555,5.459128791426131
h_01,line,69 kV Arroyo Hondo – Palamara_a,WXPLAF,WAHONF,4.905616535861456,7.013419804139154
h_01,line,69 kV Arroyo Hondo – Palamara_b,,WXPLAF,0.08310955519568307,1.2361500436775092e-13
h_01,line,69 kV Boca Chica – ZF Las Americas_a,WBCHIF,WXPCIF,58.972879277766566,42.63834802120094
h_01,line,69 kV Boca Chica – SPM_a,WXCATF,WBCHIF,29.483773847536543,-21.960560213095274
h_01,line,69 kV Bayona – Palamara_d,WGPALF,WXPDIF,62.42546725764444,44.87254649390252
h_01,line,69 kV Palamara – Plastifar_a,WPALBF,WNOVOF,26.547340386083768,19.40542184020834
h_01,line,69 kV INCA km 22 – Palamara_e,WGPALF,WXPLCF,68.26919643449753,52.98816042496588
h_01,line,69 kV Palamara – Bco Nacional Vivienda_a,WGPALF,WXALIF,25.842065576204277,13.895950040438318
h_01,line,69 kV Timbeque – Timbeque 2,WDESPF,WTI22F,93.99308892709067,-125.35733942480334
h_01,line,69 kV La Cuarenta – Timbeque 2_c,WXTTIF,WTI22F,27.464005981384325,-19.47858312384913
h_01,line,69 kV Estrella del Mar 3 – Timbeque 2,WEMB3F,WTI22F,90.87819437718827,146.99999999999966
h_01,line,69 kV Estrella del Mar 3 – Timbeque,WDESPF,WEMA3F,1.4621261230614548,0.6843671065089586
h_01,line,69 kV La Cuarenta – Timbeque 2_b,WXINAF,WXTTIF,26.512191840667338,-18.790765122752525
h_01,line,69 kV Derivación Metropolitano,WXHE1F,,0.16286002429348043,8.405459067395314e-07
h_01,line,69 kV Boca Chica – Mata de Palma_h,WXMPAF,WXLPAF,0.8618279196680789,0.6330996805076865
h_01,line,69 kV Cítricos Nacionales – INCA km 22_b,WXPCGF,WXCINF,23.124634212969553,9.426357769013451
h_01,line,69 kV Derivación Base Aerea San Isidro,WXBASF,WBASIF,21.153566619997584,6.932196533392415
h_01,line,69 kV Derivación Tamarindo,WTAMAF,WXTMRF,5.526820222763627,-2.960207591003059
h_01,line,69 kV Derivación INCA La Isabela_b,WIISAF,WXIISF,0.27086683447931625,-0.10627999998966058
h_01,line,69 kV Dajao – Monte Plata Solar_a,WDJAOF,WXSPRF,79.76701914434608,50.611516163951265
h_01,line,69 kV Arroyo Hondo – Kilómetro 10.5_b,WKDMEF,WXCARF,54.51509460625545,-36.979847376998464
h_01,line,69 kV Arroyo Hondo – Kilómetro 10.5_a,WAHONF,WXCARF,56.79673878852781,38.6976373422486
h_01,line,69 kV Hainamosa – Boca Chica(Tamarindo)d,WXBASF,WXMARF,23.476783133568183,1.4492330946934484
h_01,line,69 kV Hainamosa – Boca Chica(Tamar(1),WXMARF,WXZBVF,23.5988464514544,1.4340069092728613
h_01,line,69 kV Boca Chica – Mata de Palma_e,WXZBVF,WXGRMF,17.888074818900787,-9.556192903918063
h_01,line,69 kV Boca Chica – Mata de Palma_d,WXGRMF,WXKVNF,17.54869321755882,-10.001540547051432
h_01,line,69 kV Derivación ZF Multinodal Caucedo,WXPCIF,WZMCAF,6.042335013965641,2.49824225655059
h_01,line,69 kV Boca Chica – Acueducto Brujuela_a,WXCA2F,WXCATF,32.183015841075694,-21.051889433127545
h_01,line,69 kV Derivación Cartonera del Caribe_b,WCCARF,WXZAMF,1.7095436376427335,-0.8957624999994286
h_01,line,69 kV Bayona – Palamara_a,,WXHNUF,0.029646549490194834,5.723259154382003e-14
h_01,line,69 kV Bayona – Palamara_b,WXHNUF,WXCABF,10.788748113668625,-7.582806613545492
h_01,line,69 kV Arroyo Hondo – Capotillo_c,WXPETF,WXSKAF,1.6826197667104938,1.2082410612103907
h_01,line,69 kV Arroyo Hondo – Capotillo_d,WXSKAF,,0.016595108455349485,9.272813887310214e-10
h_01,line,69 kV Palamara – Plastifar_c,WXNOVF,WPLASF,17.137309290339875,7.25762408168069
h_01,line,69 kV Derivación Plastifar,WXNOVF,WXPLAF,9.752486413990301,7.0157555721389615
h_01,line,69 kV La Cuarenta – Timbeque 2_a,WXINAF,WLCUAF,22.596017498497663,16.099222271001643
h_01,line,69 kV Timbeque – Villa Duarte_a,WDESPF,WXMOLF,38.15987513928452,28.40526130530912
h_01,line,69 kV Derivación G. Ramos Charles,WXINVF,WGRCHF,1.3267445335641508,0.5215678017599138
h_01,line,69 kV Derivación ZF San Isidro,WZSISF,WXZHAF,9.016442421151078,-3.8154961736273236
h_01,line,69 kV INCA km 22 – Palamara_d,WXPLCF,WXIPSF,67.67279397925186,52.37588765256835
h_01,line,69 kV Arroyo Hondo – La Cuarenta,WAHONF,,0.0752409822857282,8.483404810266275e-08
h_01,line,69 kV Los Mina – Villa Duarte,WLMINF,WVDU1F,20.828344212088766,-7.1240269117195805
h_01,line,69 kV Hainamosa – Invivienda_a,WXTH1F,WINVBF,56.65840640782098,41.16955016751904
h_01,line,69 kV Palamara – Madre Vieja_g,WXARDF,WXTISF,41.33245003037143,30.487940626446225
h_01,line,69 kV Palamara – Madre Vieja_h,WXTISF,WMVIEF,40.233052642624095,30.4120944522974
h_01,line,69 kV Boca Chica – Mata de Palma_a,WXLPAF,WMPALF,0.158848430746099,8.37713371786571e-07
h_01,line,69 kV Derivación ZF San Isidro_a,WXZHAF,WXINVF,8.999572582706966,-3.8202487356807993
h_01,line,69 kV Derivación Parque Industrial DISDO,WXDISF,WDISDF,8.866228126540722,6.3661309771585755
h_01,line,69 kV Derivación Maranatha,WXMARF,WMARAF,0.10164418725587193,2.1373907734097822e-07
h_01,line,Derivación 69 kV CCN,WPLCCF,WXPLCF,0.6324074896612482,-0.4654076699999192
h_01,line,69 kV Derivación Templastisa_a,WXTH1F,WXTH2F,0.010063045117150065,2.534676239098718e-10
h_01,line,69 kV Derivación Templastisa_b,WXTH2F,WTHAIF,0.006835276353232014,6.830137796709163e-11
h_01,line,69 kV Dajao – Martí,WDJAOF,WMARTF,0.18588571304425267,1.3675856877805137e-06
h_01,line,69 kV Derivación Las Parras,WXLPAF,WLPARF,0.8994180485484936,0.6330194341756751
h_01,line,69 kV Derivación ZF Hainamosa,WXZHAF,WZHAIF,0.015021469618335743,3.8605154142482027e-10
h_01,line,345 kV Bonao 3 – El Naranjo L1,WNAR3D,WBO31D,15.995139889864959,-188.88036507413526
h_01,line,345 kV Bonao 3 – El Naranjo L2,WNAR3D,WBO31D,15.995139889864959,-188.88036507413526
h_01,line,345 kV Bonao 3 – Julio Sauri_a,WXJS3D,WBO31D,9.79968462768517,117.8257649016315
h_01,line,345 kV Bonao 3 – Julio Sauri_b,WXJS3D,WJSA1D,9.820085202403424,-117.82576490163224
h_01,line,230 kV Bonao 3 – PVDC_a,WXPV1D,WXBO2D,25.23158885554001,-119.05386270409663
h_01,line,230 kV Bonao 3 – Quisqueya 2_a,WXPV3D,WXBO2D,4.194032625385054,-17.095537775952412
h_01,line,230 kV Bonao 3 – Quisqueya 2_b,WQU21D,WXPV3D,4.156215591952072,-17.06112693924694
h_01,line,230 kV PVDC – Quisqueya 1_b,WQU21D,WXPV2D,3.9334320168572834,11.5059762606186
h_01,line,230 kV PVDC – Quisqueya 1_a,WPVDCD,WXPV2D,2.44288630620344,-11.485197653411415
h_01,line,230 kV Bonao 3 – PVDC_b,WXPV1D,WPVDCD,25.059677253359308,119.05386270409659
h_01,line,345 kV Bonao 3 – Guerra_a,WXJS4D,WBO31D,4.462970653209836,46.580121253193646
h_01,line,345 kV Guerra – Julio Sauri_b,WXGUED,WJSA1D,4.812636842842884,-46.41249636835505
h_01,line,345 kV Julio Sauri – Punta Catalina L1,WPCA1D,WJSA1D,17.679974762454282,284.97607391897026
h_01,line,345 kV Bonao 3 – Guerra_b,WXJS4D,WGUE2D,5.079535544746504,-46.580121253193454
h_01,line,345 kV Guerra – Julio Sauri_a,WXGUED,WGUE2D,5.531236330346782,46.4124963683528
h_01,line,138 kV SPM – SPM 2_b,WXLO3E,WSP2CE,46.204821271117716,-62.23128251767713
h_01,line,138 kV Los Orígenes – SPM 2_b,WXLO2E,WSP2CE,40.839675126225735,-55.29597961822286
h_01,line,138 kV Cotoperí – La Romana,WCOTAE,WLROME,16.194606780792782,-23.106815136575374
h_01,line,138 kV Coastal – SPM_b,WSPMAE,WXCO1E,41.266147167266695,63.74716227084425
h_01,line,138 kV Cumayasa – SPM_b,WSPMAE,WXCO2E,48.906211841212624,75.43243832344702
h_01,line,138 kV CEMEX – SPM 2,WCEMEE,WSP2CE,16.491129423199542,-51.34612542810182
h_01,line,138 kV Juan Dolio – SPM 2_a,WXJD3E,WJDO1E,20.066923414564382,63.354913328325516
h_01,line,138 kV Juan Dolio – SPM 2_b,WXJD3E,WSP2CE,20.055396333505712,-63.354913328324855
h_01,line,138 kV CIP La Luisa – SPM 2_b,WSP2CE,WXCL3E,13.100239189061238,41.20158459725498
h_01,line,138 kV El Seibo – Higüey,WESEIE,WHIGUE,14.971805348619723,22.30295486259197
h_01,line,138 kV SPM – SPM 2_a,WXLO3E,WSPMAE,39.58670526142852,62.23128251767933
h_01,line,138 kV Los Orígenes – SPM 2_a,WXLO2E,WLORIE,34.98877393466705,55.29597961821754
h_01,line,138 kV Los Orígenes – SPM_b,WSPMAE,WXLO1E,37.395060888200675,-55.155430186360164
h_01,line,138 kV Los Orígenes – SPM_a,WXLO1E,WLORIE,37.387736594035424,-55.16765521968787
h_01,line,138 kV CIP La Luisa – SPM 2_a,WXCL3E,WCLUIE,13.105175357510673,41.04246515063639
h_01,line,138 kV Derivación Sultana del Este,WSESTE,WXSESE,13.714561376525275,43.499942406408984
h_01,line,138 kV San Pedro Bio-Energy – SPM 2_b,WXSP1E,WSP2CE,9.528252079995832,-30.24057817997006
h_01,line,138kV SP Bio-Energy – SPM_a,WSPBEE,WXSP2E,17.985219887786542,54.791286426390194
h_01,line,138kV SP Bio-Energy – SPM_b,WXSESE,WXSP2E,17.99787692448186,-54.768322771795106
h_01,line,138 kV San Pedro Bio-Energy – SPM 2_a,WXSP1E,WSPBEE,9.528608668482493,30.24057817997769
h_01,line,138 kV Cotoperí – Higüey,WCOTAE,WHIGUE,16.381362784131774,23.106815136575083
h_01,line,138 kV Cumayasa – La Romana_b,WXCU2E,WLROME,48.93364295726664,74.16414644635742
h_01,line,138 kV Coastal – La Romana_c,WXCU3E,WLROME,41.47407013131271,62.65887424658917
h_01,line,138 kV El Soco – SPM 2_b,WXPSEE,WSP2CE,37.259322414955214,-56.47743228354496
h_01,line,138 kV El Seibo – Hato Mayor 2,WHMA2E,WESEIE,21.170286935466873,31.90065472894741
h_01,line,138 kV El Soco – Hato Mayor 2_a,WXES2E,WESOCE,37.27764380672649,-56.4381001841404
h_01,line,138 kV El Soco – SPM 2_a,WXPSEE,WESOCE,37.268492227475335,56.477432283544324
h_01,line,138 kV El Soco – Hato Mayor 2_b,WXES2E,WHMA2E,37.540497371968904,56.438100184140374
h_01,line,138 kV Cumayasa – SPM_a,WXCU1E,WCUMAE,49.051330092532716,74.28544651847623
h_01,line,138 kV Cumayasa – La Romana_a,WCUMAE,WXCU2E,48.88284356736717,74.17514283370413
h_01,line,138 kV Cumayasa – SPM_c,WXCO2E,WXCU1E,49.04941826943489,75.05509788739283
h_01,line,138 kV Coastal – La Romana_b,WXCO3E,WXCU3E,41.41952001947418,63.207455310525596
h_01,line,138 kV Coastal – SPM_a,WXCO1E,WCOAPE,41.29496833420349,63.478575444398885
h_01,line,138 kV Coastal – La Romana_a,WCOAPE,WXCO3E,41.28082520311375,63.312995013397746
h_01,line,138kV SP Bio-Energy – SPM_c,WXSESE,WSPMAE,62.68505462223488,98.26282021399967
h_01,line,138 kV Bonao 2 – Palamara L2,WBO21E,WPAL1E,35.463073020162156,-44.458890473511616
h_01,line,138 kV Bonao 2 – Palamara L1,WBO21E,WPAL1E,35.463073020162156,-44.458890473511616
h_01,line,138 kV Canabacoa – ZF Santiago_b,WXNIBE,WCAN1E,9.907241770306003,13.294152227889445
h_01,line,138 kV Navarrete 2 – Valverde Mao_a,WNA21E,WXCE2E,15.290950951278791,23.47597092453165
h_01,line,138 kV La Gallera – ZF Santiago,WLGA1E,WZSA1E,30.821913948579432,-47.78414798159981
h_01,line,138 kV Canabacoa – Nibaje_a,WCAN1E,WXNI3E,13.797389385373727,18.080988874222594
h_01,line,138 kV Canabacoa – La Gallera,WLGA1E,WCAN1E,4.783995778925865,-5.591260145604967
h_01,line,138 kV Bonao 2 – Canabacoa L1,WBO21E,WCAN1E,14.918601719378263,20.021063081496823
h_01,line,138 kV Bonao 2 – Canabacoa L2,WBO21E,WCAN1E,14.918601719378263,20.021063081496823
h_01,line,138 kV Canabacoa – Tavera L1,WTAV2E,WCAN1E,9.927396676362456,22.20561562435578
h_01,line,138 kV Canabacoa – Tavera L2,WTAV2E,WCAN1E,9.927396676362456,22.20561562435578
h_01,line,138 kV Agua Clara – Navarrete 2_c,WNA21E,WXCE1E,5.688067601599664,-8.72989613835883
h_01,line,138 kV Navarrete 2 – Valverde Mao_b,WXCE2E,WVMA1E,15.381229074376671,23.3839017279452
h_01,line,138 kV Nagua 2 – Pimentel,WPIM1E,WNAG2E,46.346038154286475,71.1928472303935
h_01,line,138 kV Pimentel – SFM,WSFM1E,WPIM1E,19.827606555943984,-24.35746575949506
h_01,line,138 kV Los Guzmancito – Puerto Plata 2_b,WPP21E,WXLG2E,25.782151626140703,-81.45781322967697
h_01,line,138 kV Monción – Valverde Mao_a,WMONCE,WXCQ2E,1.2259633821574603,-1.3638719468057687
h_01,line,138 kV Monción – Valverde Mao_b,WXCQ2E,WVMA1E,1.5302703678703569,-1.3641256725309823
h_01,line,138 kV Dajabón – Santiago Rodríguez_b,WSRODE,WXSR2E,2.001518846087495,3.012244503982985
h_01,line,138 kV Monción – Santiago Rodríguez_b,WXSR1E,WXCQ1E,17.46717348004289,-25.552485453347863
h_01,line,138 kV Monción – Santiago Rodríguez_a,WXCQ1E,WMONCE,17.277971042914718,-25.63704820802727
h_01,line,138 kV Dajabón – Santiago Rodríguez_a,WDAJAE,WXSR2E,2.754987862984186,-3.0085041617901562
h_01,line,138 kV Moca – Salcedo,WMOCAE,WSALCE,40.91364420445369,63.09972416849477
h_01,line,138 kV Salcedo – SFM,WSALCE,WSFM1E,29.85215310237283,44.768276086561606
h_01,line,138 kV Sánchez – Samaná,WSANCE,WSAMAE,8.36026589666376,11.625485070640531
h_01,line,138 kV Nagua 2 – Sánchez,WNAG2E,WSANCE,20.98289505992388,31.116324350789228
h_01,line,138 kV Canabacoa – Moca,WCAN1E,WMOCAE,56.301449297141346,87.74827391886383
h_01,line,138 kV Canabacoa – ZF Santiago_a,WZSA1E,WXNIBE,9.93112857138534,13.304101152256848
h_01,line,138 kV Nibaje – ZF Santiago_b,WZSA1E,WXNI2E,27.987413592023895,37.518750142260224
h_01,line,138 kV Puerto Plata 2 – ZF Santiago L2,,,,0.0
h_01,line,138 kV Puerto Plata 2 – San Felipe L2,WSFEL2,WPP21E,0.07048915704846082,-2.1896354733716406e-12
h_01,line,138 kV López Angostura – Tavera,WLANGE,WTAV2E,4.692131038035506,6.942804207003404
h_01,line,138 kV Bonao 2 – Bonao 3 L1,WBO31E,WBO21E,5.786271400224206,14.483572135838152
h_01,line,138 kV El Naranjo – Puerto Plata 2_a,WNAR1E,WXNV2E,8.058268759711297,21.85683261999648
h_01,line,138 kV Bonao 2 – Bonao 3 L2,WBO31E,WBO21E,5.786271400224206,14.483572135838152
h_01,line,138 kV Monción – Santiago Rodríguez_c,WXSR1E,WSRODE,17.478065160346585,25.55248545334955
h_01,line,138 kV Puerto Plata 2 – San Felipe L1,,,,0.0
h_01,line,138 kV Agua Clara – Navarrete 2_b,WXCE1E,WXAC2E,5.867857735886545,-8.742388161845186
h_01,line,138 kV Guanillo – Guayubín_b,WXGN1E,WGUAYE,21.37169571741203,32.82586102219655
h_01,line,138 kV Agua Clara – Guanillo_b,WXAC1E,WXGN2E,7.710737515579873,11.371856274743411
h_01,line,138 kV Agua Clara – Navarrete 2_a,WXAC2E,WACLAE,5.915235146260541,-8.751481541190694
h_01,line,138 kV Agua Clara – Guanillo_c,WXAC1E,WACLAE,7.605056067710891,-11.371856274743557
h_01,line,138 kV Agua Clara – Guanillo_a,WXGN2E,WGNLLE,7.893720996757704,11.363942192064048
h_01,line,138 kV Guanillo – Guayubín_a,WXGN1E,WGNLLE,21.326017388170623,-32.82586102219694
h_01,line,138 kV Matrisol – Río San Juan_b,WRSJUE,WX2MTE,4.9266163171980795,-6.844394019773178
h_01,line,138 kV Guayubín – Monte Cristi_b,WGUAYE,WMONTE,21.588771267111415,32.77761836704842
h_01,line,138 kV Los Guzmancito – Navarrete 2_b,WXLG1E,WNA21E,3.375075738103856,-3.205217667259925
